,,,,,,,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,Post_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings","SAP Savings",,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,Low_E,0.96,737.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,High_F,0.96,908.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,Low_F,0.96,1099.3,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,High_G,0.96,1366.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",73-97,Low_G,0.96,1673,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,High_D,0.96,417.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,Low_D,0.96,524.3,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,High_E,0.96,654.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,Low_E,0.96,778.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,High_F,0.96,954.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,Low_F,0.96,1149.6,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,High_G,0.96,1423.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",98-199,Low_G,0.96,1737.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,High_D,0.96,782.3,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,Low_D,0.96,954.4,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,High_E,0.96,1168.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,Low_E,0.96,1374.8,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,High_F,0.96,1664,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,Low_F,0.96,1986.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,High_G,0.96,2439.5,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Solid Fossil Boiler","Fuel Cell mCHP",200+,Low_G,0.96,2957.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,High_D,0.96,402.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,Low_D,0.96,509.8,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,High_E,0.96,640.7,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,Low_E,0.96,766.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,High_F,0.96,943,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,Low_F,0.96,1139.9,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,High_G,0.96,1416.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",0-72,Low_G,0.96,1732.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,High_D,0.96,429.1,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,Low_D,0.96,536.9,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,High_E,0.96,668.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,Low_E,0.96,795,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,High_F,0.96,972.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,Low_F,0.96,1170.7,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,High_G,0.96,1448.7,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",73-97,Low_G,0.96,1766.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,High_D,0.96,478,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,Low_D,0.96,590.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,High_E,0.96,728,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,Low_E,0.96,860,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,High_F,0.96,1045.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,Low_F,0.96,1252.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,High_G,0.96,1542.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",98-199,Low_G,0.96,1874.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,High_D,0.96,880.8,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,Low_D,0.96,1065.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,High_E,0.96,1295.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,Low_E,0.96,1516.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,High_F,0.96,1826.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,Low_F,0.96,2172.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,High_G,0.96,2658.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Fire with Back Boiler","Fuel Cell mCHP",200+,Low_G,0.96,3213.7,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,High_D,0.96,388,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,Low_D,0.96,491.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,High_E,0.96,617.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,Low_E,0.96,738.6,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,High_F,0.96,908.7,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,Low_F,0.96,1098.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,High_G,0.96,1364.9,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",0-72,Low_G,0.96,1669.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,High_D,0.96,405.9,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,Low_D,0.96,507.9,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,High_E,0.96,632.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,Low_E,0.96,752.1,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,High_F,0.96,920.1,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,Low_F,0.96,1107.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,High_G,0.96,1370.5,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",73-97,Low_G,0.96,1671.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,High_D,0.96,439.8,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,Low_D,0.96,543.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,High_E,0.96,669.8,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,Low_E,0.96,791.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,High_F,0.96,961.9,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,Low_F,0.96,1152.2,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,High_G,0.96,1419.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",98-199,Low_G,0.96,1724.7,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,High_D,0.96,794.3,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,Low_D,0.96,960.8,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,High_E,0.96,1168.1,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,Low_E,0.96,1367.4,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,High_F,0.96,1647.1,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,Low_F,0.96,1959.2,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,High_G,0.96,2397.2,N/A,,,,
Boiler,B_First_Time_CH,"Gas Room Heaters","Fuel Cell mCHP",200+,Low_G,0.96,2898.1,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,High_D,0.96,379.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,Low_D,0.96,480.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,High_E,0.96,603.4,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,Low_E,0.96,721.9,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,High_F,0.96,888.2,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,Low_F,0.96,1073.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,High_G,0.96,1334,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",0-72,Low_G,0.96,1631.7,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",73-97,High_D,0.96,392,N/A,,,,
Boiler,B_Upgrade_nopreHCs,"Gas Back Boiler to Radiators","Fuel Cell mCHP",73-97,Low_D,0.96,490.5,N/A,,,,
