,,,,,,
"Measure category",Measure_Type,Pre_Main_Heating_Source,"Total Floor Area Band ","Starting Band","Average Treatable Factor","Cost Savings"
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,Low_C,0.95,19.6
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,High_D,0.95,20.4
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,Low_D,0.95,21.6
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,High_E,0.95,23.5
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,Low_E,0.95,25.8
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,High_F,0.95,29.3
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,Low_F,0.95,33.1
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,High_G,0.95,38.4
"Cavity Wall Insulation",PWI_Cavity,N/A,98-199,Low_G,0.95,44.3
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,High_B,0.95,28.8
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,Low_B,0.95,28.7
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,High_C,0.95,29
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,Low_C,0.95,29.6
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,High_D,0.95,30.9
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,Low_D,0.95,32.6
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,High_E,0.95,35.3
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,Low_E,0.95,38.5
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,High_F,0.95,43.2
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,Low_F,0.95,48.4
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,High_G,0.95,55.6
"Cavity Wall Insulation",CWI_partial_fill,N/A,98-199,Low_G,0.95,63.5
"Cavity Wall Insulation",CWI_0.040,N/A,200+,High_B,0.95,211.6
"Cavity Wall Insulation",CWI_0.040,N/A,200+,Low_B,0.95,214.1
"Cavity Wall Insulation",CWI_0.040,N/A,200+,High_C,0.95,219.8
"Cavity Wall Insulation",CWI_0.040,N/A,200+,Low_C,0.95,227.2
"Cavity Wall Insulation",CWI_0.040,N/A,200+,High_D,0.95,239.9
"Cavity Wall Insulation",CWI_0.040,N/A,200+,Low_D,0.95,254.8
"Cavity Wall Insulation",CWI_0.040,N/A,200+,High_E,0.95,277.4
"Cavity Wall Insulation",CWI_0.040,N/A,200+,Low_E,0.95,302.9
